Deadline	Event type	Event	Submission type	Event start date	Event end date	Event location	Notes
2020-09-18	Workshop	LoResMT		2020-12-04	2020-12-07	Suzhou, China	https://sites.google.com/view/loresmt/
2020-09-18	Workshop	WAT		2020-12-04	2020-12-07	Suzhou, China	http://lotus.kuee.kyoto-u.ac.jp/WAT/WAT2020/index.html
2020-09-18	Workshop	KNLP		2020-12-04	2020-12-07	Suzhou, China	https://sites.google.com/view/knlp/
2020-09-18	Workshop	NLPTEA		2020-12-04	2020-12-07	Suzhou, China	http://www.nlptea.org/
2020-09-25	Workshop	LaTeCH-CLfL	Paper submission	2020-12-12	2020-12-12	Barcelona, Spain	https://sighum.wordpress.com/events/latech-clfl-2020/call-for-papers/
2020-09-30	Workshop	ComputEL	Paper submission	2021-03-02	2021-03-03	Online	https://computel-workshop.org/computel-4-call-for-papers/
2020-10-07	Conference	EACL	Long/short paper submission	2021-04-21	2021-04-23	Kyiv, Ukraine	https://2021.eacl.org/
2020-11-23	Conference	NAACL	Long/short paper submission	2021-06-06	2021-06-11	Mexico City, Mexico	https://2021.naacl.org/
	Conference	ACL-IJCNLP	Long/short paper submission	2021-08-02	2021-08-04	Bangkok, Thailand	https://2021.aclweb.org/
	Conference	EMNLP	Long/short paper submission	2021-11-07	2021-11-11	Punta Cana, Dominican Republic	
